season,team,round,gp,wins,draws,losses,points,gf,ga,gd,ppg,home_wins,home_draws,home_losses,home_gf,home_ga,away_wins,away_draws,away_losses,away_gf,away_ga,form_pts_last5,form_gd_last5,position,final_position,is_top6
2020_2021,Steaua Bucuresti,1,1,1,0,0,3,3,0,3,3.0,0,0,0,0,0,1,0,0,3,0,3,3,1,1,1
2020_2021,FC Botoșani,1,1,1,0,0,3,3,2,1,3.0,0,0,0,0,0,1,0,0,3,2,3,1,2,6,1
2020_2021,CFR Cluj-Napoca,1,1,1,0,0,3,2,1,1,3.0,0,0,0,0,0,1,0,0,2,1,3,1,3,2,1
2020_2021,FC Voluntari,1,1,1,0,0,3,2,1,1,3.0,1,0,0,2,1,0,0,0,0,0,3,1,4,12,0
2020_2021,Universitatea Craiova,1,1,1,0,0,3,1,0,1,3.0,0,0,0,0,0,1,0,0,1,0,3,1,5,3,1
2020_2021,Politehnica Iași,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,0,0,0,0,0,3,1,6,16,0
2020_2021,Viitorul Constanța,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,7,13,0
2020_2021,Uta Arad,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,8,10,0
2020_2021,Dinamo Bucuresti ,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,9,14,0
2020_2021,FC Hermannstadt,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,1,0,1,1,1,0,10,15,0
2020_2021,Arges Pitesti,1,1,0,0,1,0,2,3,-1,0.0,0,0,1,2,3,0,0,0,0,0,0,-1,11,7,0
2020_2021,Academica Clinceni,1,1,0,0,1,0,1,2,-1,0.0,0,0,1,1,2,0,0,0,0,0,0,-1,12,5,1
2020_2021,Gaz Metan Mediaș,1,1,0,0,1,0,1,2,-1,0.0,0,0,0,0,0,0,0,1,1,2,0,-1,13,11,0
2020_2021,Sepsi OSK Sfântu Gheorghe,1,1,0,0,1,0,0,1,-1,0.0,0,0,1,0,1,0,0,0,0,0,0,-1,14,4,1
2020_2021,Chindia Târgoviște,1,1,0,0,1,0,0,1,-1,0.0,0,0,0,0,0,0,0,1,0,1,0,-1,15,8,0
2020_2021,Astra ,1,1,0,0,1,0,0,3,-3,0.0,0,0,1,0,3,0,0,0,0,0,0,-3,16,9,0
2020_2021,Steaua Bucuresti,2,2,2,0,0,6,6,0,6,3.0,1,0,0,3,0,1,0,0,3,0,6,6,1,1,1
2020_2021,FC Botoșani,2,2,2,0,0,6,7,2,5,3.0,1,0,0,4,0,1,0,0,3,2,6,5,2,6,1
2020_2021,Universitatea Craiova,2,2,2,0,0,6,3,0,3,3.0,1,0,0,2,0,1,0,0,1,0,6,3,3,3,1
2020_2021,CFR Cluj-Napoca,2,2,1,1,0,4,2,1,1,2.0,0,1,0,0,0,1,0,0,2,1,4,1,4,2,1
2020_2021,FC Voluntari,2,2,1,1,0,4,2,1,1,2.0,1,0,0,2,1,0,1,0,0,0,4,1,5,12,0
2020_2021,Gaz Metan Mediaș,2,2,1,0,1,3,3,2,1,1.5,1,0,0,2,0,0,0,1,1,2,3,1,6,11,0
2020_2021,Chindia Târgoviște,2,2,1,0,1,3,1,1,0,1.5,1,0,0,1,0,0,0,1,0,1,3,0,7,8,0
2020_2021,Politehnica Iași,2,2,1,0,1,3,1,4,-3,1.5,1,0,0,1,0,0,0,1,0,4,3,-3,8,16,0
2020_2021,FC Hermannstadt,2,2,0,2,0,2,3,3,0,1.0,0,1,0,2,2,0,1,0,1,1,2,0,9,15,0
2020_2021,Uta Arad,2,2,0,2,0,2,1,1,0,1.0,0,1,0,0,0,0,1,0,1,1,2,0,10,10,0
2020_2021,Academica Clinceni,2,2,0,1,1,1,3,4,-1,0.5,0,0,1,1,2,0,1,0,2,2,1,-1,11,5,1
2020_2021,Dinamo Bucuresti ,2,2,0,1,1,1,1,2,-1,0.5,0,1,0,1,1,0,0,1,0,1,1,-1,12,14,0
2020_2021,Sepsi OSK Sfântu Gheorghe,2,2,0,1,1,1,0,1,-1,0.5,0,0,1,0,1,0,1,0,0,0,1,-1,13,4,1
2020_2021,Viitorul Constanța,2,2,0,1,1,1,1,4,-3,0.5,0,1,0,1,1,0,0,1,0,3,1,-3,14,13,0
2020_2021,Arges Pitesti,2,2,0,0,2,0,2,5,-3,0.0,0,0,1,2,3,0,0,1,0,2,0,-3,15,7,0
2020_2021,Astra ,2,2,0,0,2,0,0,5,-5,0.0,0,0,1,0,3,0,0,1,0,2,0,-5,16,9,0
2020_2021,Universitatea Craiova,3,3,3,0,0,9,7,1,6,3.0,1,0,0,2,0,2,0,0,5,1,9,6,1,3,1
