season,team,round,gp,wins,draws,losses,points,gf,ga,gd,ppg,home_wins,home_draws,home_losses,home_gf,home_ga,home_gd,away_wins,away_draws,away_losses,away_gf,away_ga,away_gd,form_pts_last5,form_gd_last5,form_wins_last5,position,points_from_6th,final_position,is_top6
2020_2021,Steaua Bucuresti,1,1,1,0,0,3,3,0,3,3.0,0,0,0,0,0,0,1,0,0,3,0,3,3,3,1,1,0,1,1
2020_2021,FC Botoșani,1,1,1,0,0,3,3,2,1,3.0,0,0,0,0,0,0,1,0,0,3,2,1,3,1,1,2,0,6,1
2020_2021,CFR Cluj-Napoca,1,1,1,0,0,3,2,1,1,3.0,0,0,0,0,0,0,1,0,0,2,1,1,3,1,1,3,0,2,1
2020_2021,FC Voluntari,1,1,1,0,0,3,2,1,1,3.0,1,0,0,2,1,1,0,0,0,0,0,0,3,1,1,4,0,12,0
2020_2021,Politehnica Iași,1,1,1,0,0,3,1,0,1,3.0,1,0,0,1,0,1,0,0,0,0,0,0,3,1,1,5,0,16,0
2020_2021,Universitatea Craiova,1,1,1,0,0,3,1,0,1,3.0,0,0,0,0,0,0,1,0,0,1,0,1,3,1,1,6,0,3,1
2020_2021,Dinamo Bucuresti,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,7,-2,14,0
2020_2021,FC Hermannstadt,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,8,-2,15,0
2020_2021,Uta Arad,1,1,0,1,0,1,1,1,0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,9,-2,10,0
2020_2021,Viitorul Constanța,1,1,0,1,0,1,1,1,0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,10,-2,13,0
2020_2021,Arges Pitesti,1,1,0,0,1,0,2,3,-1,0.0,0,0,1,2,3,-1,0,0,0,0,0,0,0,-1,0,11,-3,7,0
2020_2021,Academica Clinceni,1,1,0,0,1,0,1,2,-1,0.0,0,0,1,1,2,-1,0,0,0,0,0,0,0,-1,0,12,-3,5,1
2020_2021,Gaz Metan Mediaș,1,1,0,0,1,0,1,2,-1,0.0,0,0,0,0,0,0,0,0,1,1,2,-1,0,-1,0,13,-3,11,0
2020_2021,Chindia Târgoviște,1,1,0,0,1,0,0,1,-1,0.0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0,14,-3,8,0
2020_2021,Sepsi OSK Sfântu Gheorghe,1,1,0,0,1,0,0,1,-1,0.0,0,0,1,0,1,-1,0,0,0,0,0,0,0,-1,0,15,-3,4,1
2020_2021,Astra,1,1,0,0,1,0,0,3,-3,0.0,0,0,1,0,3,-3,0,0,0,0,0,0,0,-3,0,16,-3,9,0
2020_2021,Steaua Bucuresti,2,2,2,0,0,6,6,0,6,3.0,1,0,0,3,0,3,1,0,0,3,0,3,6,6,2,1,3,1,1
