idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2276157,2025-07-11,Round 1,Metaloglobus București,1,Universitatea Cluj,4,https://r2.thesportsdb.com/images/media/event/poster/r8t06f1752395010.jpg,https://r2.thesportsdb.com/images/media/event/thumb/25bpw41752393574.jpg
2276162,2025-07-11,Round 1,Argeș Pitești,0,Rapid București,2,,https://r2.thesportsdb.com/images/media/event/thumb/dn0bsa1638480128.jpg
2276156,2025-07-12,Round 1,UTA Arad,3,Universitatea Craiova,3,https://r2.thesportsdb.com/images/media/event/poster/pznzh31688724707.jpg,https://r2.thesportsdb.com/images/media/event/thumb/9yzans1688717641.jpg
2276158,2025-07-12,Round 1,FCSB,1,Hermannstadt,1,https://r2.thesportsdb.com/images/media/event/poster/dx1zu81752395014.jpg,https://r2.thesportsdb.com/images/media/event/thumb/keyma51752393578.jpg
2276159,2025-07-13,Round 1,Oțelul Galați,0,Petrolul Ploiești,0,https://r2.thesportsdb.com/images/media/event/poster/ga75nv1752395017.jpg,https://r2.thesportsdb.com/images/media/event/thumb/aoueg21752393581.jpg
2276163,2025-07-13,Round 1,CFR Cluj,2,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/sprokr1752395028.jpg,https://r2.thesportsdb.com/images/media/event/thumb/79f54f1752393592.jpg
2276160,2025-07-14,Round 1,Botoșani,1,Farul Constanța,1,https://r2.thesportsdb.com/images/media/event/poster/dis4tz1752395021.jpg,https://r2.thesportsdb.com/images/media/event/thumb/c8m7jg1752393585.jpg
2276161,2025-07-14,Round 1,Csíkszereda Miercurea Ciuc,2,Dinamo București,2,https://r2.thesportsdb.com/images/media/event/poster/j4txbm1752395025.jpg,https://r2.thesportsdb.com/images/media/event/thumb/54096r1752393588.jpg
2276165,2025-07-18,Round 2,Hermannstadt,2,Metaloglobus București,2,https://r2.thesportsdb.com/images/media/event/poster/atx3a91752395032.jpg,https://r2.thesportsdb.com/images/media/event/thumb/luoopt1752393596.jpg
2276170,2025-07-18,Round 2,Universitatea Craiova,3,Argeș Pitești,1,,https://r2.thesportsdb.com/images/media/event/thumb/stltms1638480107.jpg
2276164,2025-07-19,Round 2,Universitatea Cluj,1,UTA Arad,1,https://r2.thesportsdb.com/images/media/event/poster/egizsz1710750503.jpg,https://r2.thesportsdb.com/images/media/event/thumb/fmbhk31710750325.jpg
2276166,2025-07-19,Round 2,Petrolul Ploiești,0,FCSB,1,https://r2.thesportsdb.com/images/media/event/poster/oqdc5p1752395290.jpg,https://r2.thesportsdb.com/images/media/event/thumb/7w5x0g1752393599.jpg
2276167,2025-07-20,Round 2,Farul Constanța,3,Oțelul Galați,2,https://r2.thesportsdb.com/images/media/event/poster/uf9iaf1752395056.jpg,https://r2.thesportsdb.com/images/media/event/thumb/pep2t31752393603.jpg
2276171,2025-07-20,Round 2,Rapid București,1,CFR Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/bdfgta1752395067.jpg,https://r2.thesportsdb.com/images/media/event/thumb/s391es1752393615.jpg
2276169,2025-07-21,Round 2,Unirea Slobozia,6,Csíkszereda Miercurea Ciuc,1,https://r2.thesportsdb.com/images/media/event/poster/3sz7d41752395063.jpg,https://r2.thesportsdb.com/images/media/event/thumb/5t8rqm1752393610.jpg
2276168,2025-07-21,Round 2,Dinamo București,0,Botoșani,0,https://r2.thesportsdb.com/images/media/event/poster/cjf8y91752395060.jpg,https://r2.thesportsdb.com/images/media/event/thumb/57ht001752393606.jpg
2276173,2025-07-25,Round 3,Metaloglobus București,0,Petrolul Ploiești,3,https://r2.thesportsdb.com/images/media/event/poster/0w7myf1752395074.jpg,https://r2.thesportsdb.com/images/media/event/thumb/8a57w51752393640.jpg
2276177,2025-07-25,Round 3,Csíkszereda Miercurea Ciuc,0,Rapid București,2,https://r2.thesportsdb.com/images/media/event/poster/dn9m731752395084.jpg,https://r2.thesportsdb.com/images/media/event/thumb/kqu8a61752393651.jpg
2276172,2025-07-26,Round 3,UTA Arad,1,Hermannstadt,0,https://r2.thesportsdb.com/images/media/event/poster/jlay861752395070.jpg,https://r2.thesportsdb.com/images/media/event/thumb/nc6rxr1752393618.jpg
2276174,2025-07-26,Round 3,FCSB,1,Farul Constanța,2,https://r2.thesportsdb.com/images/media/event/poster/xohfej1752395077.jpg,https://r2.thesportsdb.com/images/media/event/thumb/0x3b8m1752393644.jpg
2276178,2025-07-27,Round 3,CFR Cluj,0,Argeș Pitești,2,https://r2.thesportsdb.com/images/media/event/poster/j1u0y71752395088.jpg,https://r2.thesportsdb.com/images/media/event/thumb/4zm35y1752393654.jpg
2276175,2025-07-27,Round 3,Oțelul Galați,2,Dinamo București,1,https://r2.thesportsdb.com/images/media/event/poster/rbfzm81710750504.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ifna5y1710750326.jpg
2276176,2025-07-28,Round 3,Botoșani,4,Unirea Slobozia,0,https://r2.thesportsdb.com/images/media/event/poster/hkohsd1752395081.jpg,https://r2.thesportsdb.com/images/media/event/thumb/mvxs281752393647.jpg
2276179,2025-07-28,Round 3,Universitatea Craiova,2,Universitatea Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/9jhb8f1752395091.jpg,https://r2.thesportsdb.com/images/media/event/thumb/bv2uho1752393658.jpg
2276181,2025-08-01,Round 4,Farul Constanța,2,Metaloglobus București,1,https://r2.thesportsdb.com/images/media/event/poster/1jaemu1752395098.jpg,https://r2.thesportsdb.com/images/media/event/thumb/tx909l1752393665.jpg
2276180,2025-08-01,Round 4,Petrolul Ploiești,1,UTA Arad,2,https://r2.thesportsdb.com/images/media/event/poster/39xdyp1752395095.jpg,https://r2.thesportsdb.com/images/media/event/thumb/dvfkjt1752393662.jpg
2276185,2025-08-02,Round 4,Argeș Pitești,3,Csíkszereda Miercurea Ciuc,1,https://r2.thesportsdb.com/images/media/event/poster/kzmetw1752395112.jpg,https://r2.thesportsdb.com/images/media/event/thumb/w75vrb1752393680.jpg
