,team,cur_pts,cur_gd,cur_pos,points_from_6th,form_pts_last5,p_top6,exp_final_pts,std_final_pts,exp_final_pos
1,Universitatea Craiova,56,25,1,10,10,1.0,60.139945,1.5397208828144362,1.034395
2,Dinamo București,52,17,2,6,8,1.0,55.10664,1.8422127755494442,2.546325
3,Rapid București,52,16,3,6,7,1.0,55.183455,1.816625790572731,2.614905
4,Universitatea Cluj,48,15,4,2,12,0.974495,51.12199,1.824863951066043,4.315985
5,CFR Cluj,47,6,5,1,15,0.849495,49.70037,1.8667865071042293,5.362785
6,Argeș Pitești,46,8,6,0,6,0.78928,48.95893,1.6917633567088208,5.7405
7,FCSB,43,8,7,-3,10,0.173835,45.803825,1.8380452577065272,7.92277
8,Botoșani,42,11,8,-4,4,0.12927,45.475845,1.7863304666197575,7.983225
9,UTA Arad,42,-3,9,-4,7,0.049035,45.04718,1.7908026266453676,8.708985
10,Oțelul Galați,41,13,10,-5,5,0.03459,44.195745,1.7220769132001579,8.84527
11,Farul Constanța,37,4,11,-9,6,0.0,39.63219,1.818902362388593,10.924855
12,Petrolul Ploiești,28,-8,12,-18,8,0.0,30.882105,1.7229091006133332,12.314275
13,Csíkszereda Miercurea Ciuc,28,-29,13,-18,10,0.0,30.46839,1.7404743054395708,12.72176
14,Unirea Slobozia,24,-18,14,-22,3,0.0,25.588265,1.5629073196368333,13.963965
15,Hermannstadt,17,-25,15,-29,3,0.0,18.66269,1.5935814895680396,15.0
16,Metaloglobus București,11,-40,16,-35,0,0.0,12.026975,1.2955606313004053,16.0
